run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
General-0-20241024-07:38:38-5814,runattr,,,configname,General,,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,datetime,20241024-07:38:38,,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,experiment,General,,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,inifile,omnetpp.ini,,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,iterationvars,"$size=5, $k=12, $m=6, $dav=160, $cav=240",,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,iterationvarsf,"size=5,k=12,m=6,dav=160,cav=240-",,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,measurement,"$size=5, $k=12, $m=6, $dav=160, $cav=240",,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,network,AvswuScenario,,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,processid,5814,,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,repetition,0,,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,replication,#0,,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,resultdir,results,,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,runnumber,0,,,,,,,,,
General-0-20241024-07:38:38-5814,runattr,,,seedset,0,,,,,,,,,
General-0-20241024-07:38:38-5814,itervar,,,cav,240,,,,,,,,,
General-0-20241024-07:38:38-5814,itervar,,,dav,160,,,,,,,,,
General-0-20241024-07:38:38-5814,itervar,,,k,12,,,,,,,,,
General-0-20241024-07:38:38-5814,itervar,,,m,6,,,,,,,,,
General-0-20241024-07:38:38-5814,itervar,,,size,5,,,,,,,,,
General-0-20241024-07:38:38-5814,param,,,**.softwareUpdateSizeMB,5,,,,,,,,,
General-0-20241024-07:38:38-5814,param,,,**.erasureCodeK,12,,,,,,,,,
General-0-20241024-07:38:38-5814,param,,,**.erasureCodeM,6,,,,,,,,,
General-0-20241024-07:38:38-5814,param,,,**.numberDAV,160,,,,,,,,,
General-0-20241024-07:38:38-5814,param,,,**.numberCAV,240,,,,,,,,,
General-0-20241024-07:38:38-5814,param,,,*.man[*].appl.softwareUpdateSizeMB,softwareUpdateSizeMB,,,,,,,,,
General-0-20241024-07:38:38-5814,param,,,*.rsu[*].appl.softwareUpdateSizeMB,softwareUpdateSizeMB,,,,,,,,,
General-0-20241024-07:38:38-5814,param,,,*.delivery[*].appl.softwareUpdateSizeMB,softwareUpdateSizeMB,,,,,,,,,
General-0-20241024-07:38:38-5814,param,,,*.node[*].appl.softwareUpdateSizeMB,softwareUpdateSizeMB,,,,,,,,,
General-0-20241024-07:38:38-5814,param,,,*.man[*].appl.erasureCodeK,erasureCodeK,,,,,,,,,
